Engagement metrics for individual posts. Created date indicates when your post was created. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"Happy holidays from 10 SUS Brigade in Ft. Drum, NY! 

#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7014677623591051264,Organic,,Bethel Domfeh,12/30/2022,,,All followers,154,,,5,0.032467533,5,1,2,,0.071428575,
"Wishing you good health and wellness from Ft. Bragg, NC! We are grateful to be a part of a community that is transforming tactical care through the Holistic Health and Fitness System. 
 
We're hiring! Click here to learn more about our H2F team. https://lnkd.in/ev33UFvP 
 
#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7014674794151313408,Organic,,Bethel Domfeh,12/30/2022,,,All followers,234,,,9,0.03846154,9,0,1,,0.07692308,
"Season’s greetings from our H2F Athletic Trainers in Ft. Bliss, Texas! Wishing you the happiest of holidays and a fantastic new year. Click here to learn more about our H2F program - we're hiring! https://lnkd.in/ev33UFvP 

#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #AthleticTrainerJobs #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7014666401852317696,Organic,,Bethel Domfeh,12/30/2022,,,All followers,249,,,19,0.076305218,4,1,0,,0.096385539,
"Congratulations to 17 FAB Brigade in Joint Base Lewis- McChord, WA for winning the Best Brigade Group Photo for the 2022 Holiday Contest! We loved their creativity - they even included a melted snowwoman!

We are proud to be a part of a community of Athletic Trainers that are rehabilitating US soldiers through the Holistic Health and Fitness System. 

Visit our page to learn more about what it’s like to work as an Athletic Trainer within the H2F program and more. cognitosystemsllc.com

#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #Athletictrainerjobs ",https://www.linkedin.com/feed/update/urn:li:activity:7014640701489467392,Organic,,Bethel Domfeh,12/30/2022,,,All followers,350,,,20,0.057142857,10,1,3,,0.09714286,
"“My favorite holiday movie is The Grinch.”

The holidays are a perfect time to watch our favorite movies. This week, we highlight our H2F Athletic Trainer Tadd Berg. 

https://lnkd.in/eZDem9Td 

#H2FHoliday #HappyHolidays #healthcareprofessionals #athletictrainers #H2F #usarmy #holistichealthandfitness #military #fitness",https://www.linkedin.com/feed/update/urn:li:activity:7013929552305397760,Organic,,Bethel Domfeh,12/28/2022,,,All followers,214,65,,13,0.060747664,7,0,0,,0.093457945,Video
"Wishing you a healthy Hanukkah and happy new year.

#H2FHoliday #happyholidays  #healthcareprofessionals  #athletictrainers  #H2F #usarmy #holistichealthandfitness #military #fitness",https://www.linkedin.com/feed/update/urn:li:activity:7012134119551717376,Organic,,Bethel Domfeh,12/23/2022,,,All followers,117,,,0,0,3,0,0,,0.025641026,
"Happy Holidays from the Cognito team. May your holidays sparkle with joy and laughter.

#H2FHoliday #happyholidays  #healthcareprofessionals #athletictrainers #H2F #usarmy #holistichealthandfitness #military",https://www.linkedin.com/feed/update/urn:li:activity:7012113656914038784,Organic,,Bethel Domfeh,12/23/2022,,,All followers,129,41,,3,0.023255814,4,0,0,,0.046511628,Video
"“The best Christmas gift that I've ever received was a pink Barbie Jeep when I was a young child.” 

This holiday season we are highlighting how our Athletic Trainers are contributing to the H2F community. Check out Kym Mathis' highlight here: https://lnkd.in/efHBenfm

#HappyHolidays #H2FCommunity #healthcareprofessionals #athletictrainers #H2F #usarmy #holistichealthandfitness #military #fitness",https://www.linkedin.com/feed/update/urn:li:activity:7010696577551880192,Organic,,Bethel Domfeh,12/19/2022,,,All followers,138,,,6,0.043478262,6,0,2,,0.094202898,
"Our Athletic Trainers are at the core of what makes us great rehabilitators and healthcare professionals. Today we would like to highlight our Athletic Trainer, Kelli Florio. 

Check out her story here: https://lnkd.in/gwWzdXd8

#healthcareprofessionals #athletictrainers #H2F #usarmy #holistichealthandfitness #military #fitness
",https://www.linkedin.com/feed/update/urn:li:activity:7006350520537821184,Organic,,Bethel Domfeh,12/07/2022,,,All followers,361,,,15,0.041551247,16,0,3,,0.091412745,
"Great article from fellow Tactical Athletic Trainer Madison Hiatt about the necessity of the H2F program in improving soldier readiness. Thanks for sharing, Madison! 

#H2FCommunity #TacticalAthleticTrainer #USmilitary #SoliderCare",https://www.linkedin.com/feed/update/urn:li:activity:7005583271468154880,Organic,,Bethel Domfeh,12/05/2022,,,All followers,99,,,3,0.030303031,4,0,0,,0.060606062,
"Happy New Month! To celebrate, our team will be sharing with you what makes this season so special to us. 

To get into the mood, we put up decorations, attend light shows, and watch our favorite movies. What are some of the things you like to do during the holiday season?

#Holidaycheer #healthcareprofessionals #healthcarerecruiter #healthcarerecruiting  #jobalert #healthjobs ",https://www.linkedin.com/feed/update/urn:li:activity:7004184081244512258,Organic,,Bethel Domfeh,12/01/2022,,,All followers,182,98,,10,0.054945055,2,0,1,,0.065934069,Video
